revision,clones,prevented,detected
1,258,7,251
2,336,7,329
3,358,7,351
4,342,7,335
5,382,7,375
6,382,7,375
7,382,7,375
8,412,7,405
9,394,7,387
10,378,7,371
11,378,7,371
12,379,7,372
13,385,7,378
14,379,7,372
15,379,7,372
16,385,7,378
17,391,7,384
18,391,7,384
19,400,7,393
20,424,7,417
21,424,7,417
22,430,7,423
23,430,7,423
24,430,7,423
25,430,7,423
26,430,7,423
27,457,7,450
28,487,7,480
29,499,7,492
30,507,7,500
31,507,8,499
32,513,8,505
33,513,8,505
34,510,8,502
35,510,8,502
36,510,8,502
37,522,8,514
38,522,8,514
39,544,8,536
40,544,8,536
41,544,8,536
42,544,8,536
43,544,8,536
44,573,8,565
45,573,8,565
46,573,8,565
47,573,8,565
48,573,8,565
49,579,8,571
50,579,8,571
51,579,8,571
52,579,8,571
53,580,8,572
54,580,8,572
55,581,8,573
56,581,8,573
57,581,8,573
58,581,8,573
59,581,8,573
60,565,8,557
61,565,8,557
62,565,8,557
63,565,8,557
64,565,8,557
65,565,8,557
66,580,8,572
67,580,8,572
68,580,8,572
69,580,8,572
70,530,8,522
71,165,3,162
72,165,3,162
73,165,3,162
74,166,3,163
75,166,3,163
76,206,3,203
77,206,3,203
78,206,3,203
79,206,3,203
80,201,3,198
81,201,3,198
82,201,3,198
83,201,3,198
84,201,3,198
85,201,3,198
86,200,3,197
87,200,3,197
88,201,3,198
89,201,3,198
90,200,3,197
91,200,3,197
92,200,3,197
93,203,3,200
94,203,3,200
95,190,3,187
96,190,3,187
97,190,3,187
98,187,3,184
99,188,3,185
100,188,3,185
101,188,3,185
102,188,3,185
103,189,3,186
104,189,3,186
105,189,3,186
106,189,3,186
107,189,3,186
108,189,3,186
109,189,3,186
110,189,3,186
111,189,3,186
112,189,3,186
113,189,3,186
114,189,3,186
115,189,3,186
116,189,3,186
117,189,3,186
118,192,3,189
119,189,3,186
120,189,3,186
121,189,3,186
122,189,3,186
123,192,3,189
124,193,3,190
125,193,3,190
126,194,3,191
127,194,3,191
128,195,3,192
129,195,3,192
130,195,3,192
131,196,3,193
132,196,3,193
133,196,3,193
134,196,3,193
135,196,3,193
136,197,3,194
137,197,3,194
138,197,3,194
139,198,3,195
140,198,3,195
141,198,3,195
142,198,3,195
143,198,3,195
144,199,3,196
145,199,3,196
146,199,3,196
147,201,3,198
148,202,3,199
149,202,3,199
150,208,3,205
151,208,3,205
152,208,3,205
153,208,3,205
154,208,3,205
155,208,3,205
156,214,3,211
157,220,3,217
158,220,3,217
159,220,3,217
160,210,3,207
161,214,3,211
162,214,3,211
163,214,3,211
164,214,3,211
165,214,3,211
166,215,3,212
167,185,3,182
168,185,3,182
169,192,3,189
170,192,3,189
171,193,3,190
172,193,3,190
173,193,3,190
174,193,3,190
175,192,3,189
176,192,3,189
177,192,3,189
178,192,3,189
179,192,3,189
180,192,3,189
181,191,3,188
182,191,3,188
183,191,3,188
184,191,3,188
185,191,3,188
186,191,3,188
187,191,3,188
188,191,3,188
189,191,3,188
190,191,3,188
191,191,3,188
192,192,3,189
193,192,3,189
194,193,3,190
195,192,3,189
196,192,3,189
197,192,3,189
198,193,3,190
199,193,3,190
200,193,3,190
201,193,3,190
202,193,3,190
203,194,3,191
204,194,3,191
205,194,3,191
206,195,3,192
207,190,3,187
208,190,3,187
209,190,3,187
210,190,3,187
211,190,3,187
212,190,3,187
213,205,3,202
214,205,3,202
215,206,3,203
216,206,3,203
217,206,3,203
218,206,3,203
219,207,3,204
220,207,3,204
221,213,3,210
222,213,3,210
223,213,3,210
224,213,3,210
225,213,3,210
226,213,3,210
227,213,3,210
228,213,3,210
229,214,3,211
230,209,3,206
231,209,3,206
232,209,3,206
233,209,3,206
234,209,3,206
235,209,3,206
236,209,3,206
237,208,3,205
238,208,3,205
239,25,0,25
240,25,0,25
241,25,0,25
242,25,0,25
243,25,0,25
244,25,0,25
245,25,0,25
246,25,0,25
247,25,0,25
248,25,0,25
249,25,0,25
250,25,0,25
251,25,0,25
252,25,0,25
253,25,0,25
254,25,0,25
255,25,0,25
256,25,0,25
257,25,0,25
258,25,0,25
259,25,0,25
260,25,0,25
261,25,0,25
262,25,0,25
263,25,0,25
264,25,0,25
265,25,0,25
266,25,0,25
267,25,0,25
268,25,0,25
269,25,0,25
270,25,0,25
271,25,0,25
272,25,0,25
273,25,0,25
274,25,0,25
275,25,0,25
276,25,0,25
277,25,0,25
278,25,0,25
279,25,0,25
280,25,0,25
281,25,0,25
282,25,0,25
283,25,0,25
284,25,0,25
285,25,0,25
286,25,0,25
287,25,0,25
288,25,0,25
289,25,0,25
290,25,0,25
291,25,0,25
292,25,0,25
293,25,0,25
294,25,0,25
295,25,0,25
296,25,0,25
297,25,0,25
298,25,0,25
299,25,0,25
300,25,0,25
301,25,0,25
302,25,0,25
303,25,0,25
304,25,0,25
305,25,0,25
306,25,0,25
307,25,0,25
308,25,0,25
309,25,0,25
310,25,0,25
311,25,0,25
312,25,0,25
313,25,0,25
314,25,0,25
315,25,0,25
316,25,0,25
317,25,0,25
318,25,0,25
319,25,0,25
320,25,0,25
321,25,0,25
322,25,0,25
323,25,0,25
324,26,0,26
325,26,0,26
326,26,0,26
327,26,0,26
328,26,0,26
329,26,0,26
330,26,0,26
331,26,0,26
332,26,0,26
333,26,0,26
334,26,0,26
335,26,0,26
336,26,0,26
337,26,0,26
338,26,0,26
339,26,0,26
340,26,0,26
341,26,0,26
342,26,0,26
343,26,0,26
344,26,0,26
345,26,0,26
346,26,0,26
347,25,0,25
348,25,0,25
349,25,0,25
350,25,0,25
351,25,0,25
352,25,0,25
353,25,0,25
354,25,0,25
355,26,0,26
356,26,0,26
357,26,0,26
358,26,0,26
359,26,0,26
360,25,0,25
361,25,0,25
362,25,0,25
363,25,0,25
364,25,0,25
365,25,0,25
366,25,0,25
367,25,0,25
368,25,0,25
369,25,0,25
370,25,0,25
371,25,0,25
372,25,0,25
373,25,0,25
374,25,0,25
375,25,0,25
376,25,0,25
377,25,0,25
378,25,0,25
379,25,0,25
380,25,0,25
381,25,0,25
382,25,0,25
383,25,0,25
384,25,0,25
385,25,0,25
386,25,0,25
387,25,0,25
388,25,0,25
389,25,0,25
390,25,0,25
391,25,0,25
392,25,0,25
393,25,0,25
394,25,0,25
395,25,0,25
396,25,0,25
397,25,0,25
398,25,0,25
399,25,0,25
400,25,0,25
401,25,0,25
402,25,0,25
403,25,0,25
404,25,0,25
405,25,0,25
406,25,0,25
407,25,0,25
408,25,0,25
409,25,0,25
410,25,0,25
411,25,0,25
412,25,0,25
413,25,0,25
414,25,0,25
415,25,0,25
416,25,0,25
417,25,0,25
418,25,0,25
419,25,0,25
420,25,0,25
421,25,0,25
422,25,0,25
423,25,0,25
424,25,0,25
425,25,0,25
426,25,0,25
427,25,0,25
428,24,0,24
429,24,0,24
430,24,0,24
431,24,0,24
432,24,0,24
433,24,0,24
434,24,0,24
435,24,0,24
436,24,0,24
437,24,0,24
438,24,0,24
439,24,0,24
440,24,0,24
441,24,0,24
442,24,0,24
443,24,0,24
444,24,0,24
445,24,0,24
446,24,0,24
447,24,0,24
448,24,0,24
449,24,0,24
450,24,0,24
451,24,0,24
452,25,0,25
453,25,0,25
454,24,0,24
455,24,0,24
456,24,0,24
457,24,0,24
458,24,0,24
459,25,0,25
460,25,0,25
461,24,0,24
462,24,0,24
463,24,0,24
464,24,0,24
465,24,0,24
466,24,0,24
467,24,0,24
468,24,0,24
469,24,0,24
470,24,0,24
471,24,0,24
472,24,0,24
473,24,0,24
474,24,0,24
475,24,0,24
476,24,0,24
477,24,0,24
478,24,0,24
479,24,0,24
480,24,0,24
481,24,0,24
482,20,0,20
483,20,0,20
484,20,0,20
485,20,0,20
486,20,0,20
487,20,0,20
488,20,0,20
489,20,0,20
490,20,0,20
491,20,0,20
492,20,0,20
493,20,0,20
494,20,0,20
495,20,0,20
496,20,0,20
497,20,0,20
498,20,0,20
499,20,0,20
500,20,0,20
501,20,0,20
502,20,0,20
503,20,0,20
504,20,0,20
505,20,0,20
506,19,0,19
507,19,0,19
508,19,0,19
509,19,0,19
510,19,0,19
511,19,0,19
512,19,0,19
513,19,0,19
514,19,0,19
515,19,0,19
516,19,0,19
517,19,0,19
518,19,0,19
519,20,0,20
520,20,0,20
521,20,0,20
522,20,0,20
523,20,0,20
524,20,0,20
525,20,0,20
526,20,0,20
527,20,0,20
528,20,0,20
529,20,0,20
530,19,0,19
531,19,0,19
532,19,0,19
533,19,0,19
534,19,0,19
535,19,0,19
536,19,0,19
537,19,0,19
538,19,0,19
539,19,0,19
540,19,0,19
541,19,0,19
542,19,0,19
543,19,0,19
544,19,0,19
545,19,0,19
546,19,0,19
547,19,0,19
548,19,0,19
549,19,0,19
550,19,0,19
551,19,0,19
552,19,0,19
553,19,0,19
554,19,0,19
555,19,0,19
556,19,0,19
557,19,0,19
558,19,0,19
559,19,0,19
560,19,0,19
561,19,0,19
562,19,0,19
563,19,0,19
564,19,0,19
565,19,0,19
566,19,0,19
567,19,0,19
568,19,0,19
569,19,0,19
570,19,0,19
571,19,0,19
572,19,0,19
573,19,0,19
574,19,0,19
575,19,0,19
576,19,0,19
577,19,0,19
578,19,0,19
579,19,0,19
580,19,0,19
581,16,0,16
582,16,0,16
583,16,0,16
584,16,0,16
585,16,0,16
586,16,0,16
587,16,0,16
588,16,0,16
589,16,0,16
590,16,0,16
591,16,0,16
592,16,0,16
593,16,0,16
594,16,0,16
595,16,0,16
596,16,0,16
597,16,0,16
598,16,0,16
599,16,0,16
600,16,0,16
601,16,0,16
602,16,0,16
603,16,0,16
604,16,0,16
605,16,0,16
606,17,0,17
607,17,0,17
608,17,0,17
609,17,0,17
610,17,0,17
611,17,0,17
612,17,0,17
613,18,0,18
614,18,0,18
615,18,0,18
616,17,0,17
617,18,0,18
618,18,0,18
619,18,0,18
620,18,0,18
621,18,0,18
622,18,0,18
623,18,0,18
624,18,0,18
625,18,0,18
626,18,0,18
627,18,0,18
628,18,0,18
629,18,0,18
630,18,0,18
631,18,0,18
632,18,0,18
633,18,0,18
634,18,0,18
635,18,0,18
636,18,0,18
637,18,0,18
638,18,0,18
639,18,0,18
640,17,0,17
641,17,0,17
642,17,0,17
643,17,0,17
644,17,0,17
645,17,0,17
646,17,0,17
647,17,0,17
648,17,0,17
649,17,0,17
650,17,0,17
651,17,0,17
652,17,0,17
653,17,0,17
654,17,0,17
655,17,0,17
656,17,0,17
657,18,0,18
658,17,0,17
659,17,0,17
660,17,0,17
661,17,0,17
662,17,0,17
663,17,0,17
664,17,0,17
665,17,0,17
666,18,0,18
667,18,0,18
668,18,0,18
669,18,0,18
670,20,0,20
671,20,0,20
672,20,0,20
673,20,0,20
674,20,0,20
675,20,0,20
676,20,0,20
677,20,0,20
678,21,0,21
679,21,0,21
680,21,0,21
681,21,0,21
682,21,0,21
683,21,0,21
684,21,0,21
685,19,0,19
686,19,0,19
687,19,0,19
688,19,0,19
689,19,0,19
690,19,0,19
691,19,0,19
692,19,0,19
693,19,0,19
694,19,0,19
695,19,0,19
696,19,0,19
697,20,0,20
698,20,0,20
699,22,0,22
700,22,0,22
701,21,0,21
702,16,0,16
703,16,0,16
704,16,0,16
705,16,0,16
706,16,0,16
707,16,0,16
708,16,0,16
709,16,0,16
710,16,0,16
711,16,0,16
712,16,0,16
713,16,0,16
714,16,0,16
715,16,0,16
716,16,0,16
717,16,0,16
718,16,0,16
719,16,0,16
720,16,0,16
721,16,0,16
722,16,0,16
723,16,0,16
724,16,0,16
725,16,0,16
726,16,0,16
727,16,0,16
728,16,0,16
729,16,0,16
730,16,0,16
731,16,0,16
732,16,0,16
733,16,0,16
734,16,0,16
735,16,0,16
736,16,0,16
737,16,0,16
738,16,0,16
739,16,0,16
740,16,0,16
741,16,0,16
742,16,0,16
743,16,0,16
744,16,0,16
745,16,0,16
746,16,0,16
747,16,0,16
748,16,0,16
749,16,0,16
750,16,0,16
751,16,0,16
752,16,0,16
753,16,0,16
754,16,0,16
755,15,0,15
756,15,0,15
757,15,0,15
758,15,0,15
759,15,0,15
760,15,0,15
761,15,0,15
762,15,0,15
763,15,0,15
764,15,0,15
765,15,0,15
766,15,0,15
767,15,0,15
768,15,0,15
769,15,0,15
770,15,0,15
771,15,0,15
772,15,0,15
773,15,0,15
774,15,0,15
775,15,0,15
776,15,0,15
777,15,0,15
778,15,0,15
779,15,0,15
780,15,0,15
781,15,0,15
782,15,0,15
783,15,0,15
784,15,0,15
785,15,0,15
786,15,0,15
787,15,0,15
788,15,0,15
789,15,0,15
790,15,0,15
791,14,0,14
792,14,0,14
793,11,0,11
794,11,0,11
795,9,0,9
796,9,0,9
797,9,0,9
798,9,0,9
799,8,0,8
800,8,0,8
801,8,0,8
802,8,0,8
803,8,0,8
804,8,0,8
805,8,0,8
806,8,0,8
807,8,0,8
808,8,0,8
809,8,0,8
810,8,0,8
811,8,0,8
812,8,0,8
813,8,0,8
814,8,0,8
815,8,0,8
816,8,0,8
817,8,0,8
818,8,0,8
819,8,0,8
820,8,0,8
821,8,0,8
822,7,0,7
823,7,0,7
824,7,0,7
825,7,0,7
826,7,0,7
827,7,0,7
828,7,0,7
829,7,0,7
830,7,0,7
831,7,0,7
832,7,0,7
833,7,0,7
834,8,0,8
835,8,0,8
836,8,0,8
837,8,0,8
838,8,0,8
839,8,0,8
840,8,0,8
841,8,0,8
842,8,0,8
843,8,0,8
844,8,0,8
845,8,0,8
846,8,0,8
847,8,0,8
848,8,0,8
849,8,0,8
850,8,0,8
851,8,0,8
852,8,0,8
853,8,0,8
854,8,0,8
855,8,0,8
856,8,0,8
857,8,0,8
858,8,0,8
859,8,0,8
860,8,0,8
861,8,0,8
862,8,0,8
863,8,0,8
864,8,0,8
865,8,0,8
866,8,0,8
867,8,0,8
868,8,0,8
869,8,0,8
870,8,0,8
871,9,0,9
872,9,0,9
873,9,0,9
874,9,0,9
875,9,0,9
876,9,0,9
877,9,0,9
878,9,0,9
879,9,0,9
880,11,0,11
881,11,0,11
882,11,0,11
883,11,0,11
884,10,0,10
885,10,0,10
886,10,0,10
887,10,0,10
888,10,0,10
889,10,0,10
890,10,0,10
891,10,0,10
892,10,0,10
893,10,0,10
894,10,0,10
895,10,0,10
896,10,0,10
897,10,0,10
898,10,0,10
899,10,0,10
900,10,0,10
901,10,0,10
902,10,0,10
903,10,0,10
904,10,0,10
905,10,0,10
906,10,0,10
907,10,0,10
908,10,0,10
909,10,0,10
910,10,0,10
911,10,0,10
912,10,0,10
913,10,0,10
914,10,0,10
915,10,0,10
916,10,0,10
917,10,0,10
918,10,0,10
919,10,0,10
920,10,0,10
921,10,0,10
922,10,0,10
923,10,0,10
924,10,0,10
925,10,0,10
926,10,0,10
927,10,0,10
928,10,0,10
929,10,0,10
930,10,0,10
931,10,0,10
932,10,0,10
933,10,0,10
934,10,0,10
935,10,0,10
936,10,0,10
937,10,0,10
938,10,0,10
939,11,0,11
940,11,0,11
941,9,0,9
942,9,0,9
943,8,0,8
944,8,0,8
945,8,0,8
946,8,0,8
947,8,0,8
948,8,0,8
949,9,0,9
950,9,0,9
951,9,0,9
952,9,0,9
953,9,0,9
954,9,0,9
955,9,0,9
956,9,0,9
957,9,0,9
958,9,0,9
959,9,0,9
960,9,0,9
961,9,0,9
962,9,0,9
963,9,0,9
964,9,0,9
965,9,0,9
966,9,0,9
967,9,0,9
968,9,0,9
969,9,0,9
970,9,0,9
971,9,0,9
972,9,0,9
973,9,0,9
974,10,0,10
975,10,0,10
976,14,1,13
977,13,1,12
978,13,1,12
979,13,1,12
980,13,1,12
981,13,1,12
982,13,1,12
983,13,1,12
984,13,1,12
985,13,1,12
986,13,1,12
987,13,1,12
988,13,1,12
989,13,1,12
990,13,1,12
991,13,1,12
992,13,1,12
993,13,1,12
994,13,1,12
995,13,1,12
996,13,1,12
997,13,1,12
998,13,1,12
999,13,1,12
1000,13,1,12
1001,13,1,12
1002,13,1,12
1003,13,1,12
1004,13,1,12
1005,13,1,12
1006,13,1,12
1007,13,1,12
1008,13,1,12
1009,13,1,12
1010,13,1,12
1011,13,1,12
1012,13,1,12
1013,13,1,12
1014,13,1,12
1015,13,1,12
1016,13,1,12
1017,13,1,12
1018,13,1,12
1019,13,1,12
1020,13,1,12
1021,13,1,12
1022,13,1,12
1023,13,1,12
1024,13,1,12
1025,13,1,12
1026,13,1,12
1027,12,1,11
1028,12,1,11
1029,12,1,11
1030,273,9,264
1031,273,9,264
1032,273,9,264
1033,273,9,264
1034,273,9,264
1035,273,9,264
1036,273,9,264
1037,273,9,264
1038,273,9,264
1039,273,9,264
1040,273,9,264
1041,273,9,264
1042,273,9,264
1043,273,9,264
1044,273,9,264
1045,273,9,264
1046,273,9,264
1047,273,9,264
1048,273,9,264
1049,273,9,264
1050,273,9,264
1051,273,9,264
1052,273,9,264
1053,273,9,264
1054,273,9,264
1055,273,9,264
1056,273,9,264
1057,273,9,264
1058,273,9,264
1059,273,9,264
1060,273,9,264
1061,273,9,264
1062,273,9,264
1063,273,9,264
1064,273,9,264
1065,273,9,264
1066,273,9,264
1067,273,9,264
1068,273,9,264
1069,273,9,264
1070,273,9,264
1071,273,9,264
1072,273,9,264
1073,273,9,264
1074,273,9,264
1075,273,9,264
1076,273,9,264
1077,273,9,264
1078,273,9,264
1079,273,9,264
1080,273,9,264
1081,273,9,264
1082,273,9,264
1083,273,9,264
1084,273,9,264
1085,273,9,264
1086,273,9,264
1087,273,9,264
1088,273,9,264
1089,273,9,264
1090,273,9,264
1091,273,9,264
1092,273,9,264
1093,273,9,264
1094,273,9,264
1095,273,9,264
1096,273,9,264
1097,273,9,264
1098,273,9,264
1099,273,9,264
1100,273,9,264
1101,273,9,264
1102,273,9,264
1103,273,9,264
1104,273,9,264
1105,273,9,264
1106,273,9,264
1107,273,9,264
1108,273,9,264
1109,273,9,264
1110,273,9,264
1111,273,9,264
1112,273,9,264
1113,273,9,264
1114,273,9,264
1115,273,9,264
1116,273,9,264
1117,273,9,264
1118,273,9,264
1119,273,9,264
1120,273,9,264
1121,273,9,264
1122,273,9,264
1123,273,9,264
1124,273,9,264
1125,273,9,264
1126,273,9,264
1127,273,9,264
1128,273,9,264
1129,273,9,264
1130,273,9,264
1131,273,9,264
1132,273,9,264
1133,273,9,264
1134,273,9,264
1135,273,9,264
1136,271,9,262
1137,273,9,264
1138,273,9,264
1139,273,9,264
1140,273,9,264
1141,273,9,264
1142,273,9,264
